STATEFIPS,STATE,zipcode,agi_stub
1,AL,35186,1
1,AL,35186,2
1,AL,35186,3
1,AL,35186,4
1,AL,35186,5
1,AL,35186,6
1,AL,35188,1
1,AL,35188,2
1,AL,35188,3
1,AL,35188,4
1,AL,35188,5
1,AL,35188,6
1,AL,35203,1
1,AL,35203,2
1,AL,35203,3
1,AL,35203,4
1,AL,35203,5
1,AL,35203,6
1,AL,35204,1
1,AL,35204,2
1,AL,35204,3
1,AL,35204,4
1,AL,35204,5
1,AL,35204,6
1,AL,35205,1
1,AL,35205,2
1,AL,35205,3
1,AL,35205,4
1,AL,35205,5
1,AL,35205,6
1,AL,35206,1
1,AL,35206,2
1,AL,35206,3
1,AL,35206,4
1,AL,35206,5
1,AL,35206,6
1,AL,35207,1
1,AL,35207,2
1,AL,35207,3
1,AL,35207,4
1,AL,35207,5
1,AL,35207,6
1,AL,35208,1
1,AL,35208,2
1,AL,35208,3
1,AL,35208,4
1,AL,35208,5
1,AL,35208,6
1,AL,35209,1
1,AL,35209,2
1,AL,35209,3
1,AL,35209,4
1,AL,35209,5
1,AL,35209,6
1,AL,35210,1
1,AL,35210,2
1,AL,35210,3
1,AL,35210,4
1,AL,35210,5
1,AL,35210,6
1,AL,35211,1
1,AL,35211,2
1,AL,35211,3
1,AL,35211,4
1,AL,35211,5
1,AL,35211,6
1,AL,35212,1
1,AL,35212,2
1,AL,35212,3
1,AL,35212,4
1,AL,35212,5
1,AL,35212,6
1,AL,35213,1
1,AL,35213,2
1,AL,35213,3
1,AL,35213,4
1,AL,35213,5
1,AL,35213,6
1,AL,35214,1
1,AL,35214,2
1,AL,35214,3
1,AL,35214,4
1,AL,35214,5
1,AL,35214,6
1,AL,35215,1
1,AL,35215,2
1,AL,35215,3
1,AL,35215,4
1,AL,35215,5
1,AL,35215,6
1,AL,35216,1
1,AL,35216,2
1,AL,35216,3
1,AL,35216,4
1,AL,35216,5
1,AL,35216,6
1,AL,35217,1
1,AL,35217,2
1,AL,35217,3
1,AL,35217,4
1,AL,35217,5
1,AL,35217,6
1,AL,35218,1
1,AL,35218,2
1,AL,35218,3
1,AL,35218,4
1,AL,35218,5
1,AL,35218,6
1,AL,35221,1
1,AL,35221,2
1,AL,35221,3
1,AL,35221,4
1,AL,35221,5
1,AL,35221,6
1,AL,35222,1
1,AL,35222,2
1,AL,35222,3
1,AL,35222,4
1,AL,35222,5
1,AL,35222,6
1,AL,35223,1
1,AL,35223,2
1,AL,35223,3
1,AL,35223,4
1,AL,35223,5
1,AL,35223,6
1,AL,35224,1
1,AL,35224,2
1,AL,35224,3
1,AL,35224,4
1,AL,35224,5
1,AL,35224,6
1,AL,35226,1
1,AL,35226,2
1,AL,35226,3
1,AL,35226,4
1,AL,35226,5
1,AL,35226,6
1,AL,35228,1
1,AL,35228,2
1,AL,35228,3
1,AL,35228,4
1,AL,35228,5
1,AL,35228,6
1,AL,35233,1
1,AL,35233,2
1,AL,35233,3
1,AL,35233,4
1,AL,35233,5
1,AL,35233,6
1,AL,35234,1
1,AL,35234,2
1,AL,35234,3
1,AL,35234,4
1,AL,35234,5
1,AL,35234,6
1,AL,35235,1
1,AL,35235,2
1,AL,35235,3
1,AL,35235,4
1,AL,35235,5
1,AL,35235,6
1,AL,35242,1
1,AL,35242,2
1,AL,35242,3
1,AL,35242,4
1,AL,35242,5
1,AL,35242,6
1,AL,35243,1
1,AL,35243,2
1,AL,35243,3
1,AL,35243,4
1,AL,35243,5
1,AL,35243,6
1,AL,35244,1
1,AL,35244,2
1,AL,35244,3
1,AL,35244,4
1,AL,35244,5
1,AL,35244,6
1,AL,35401,1
1,AL,35401,2
1,AL,35401,3
1,AL,35401,4
1,AL,35401,5
1,AL,35401,6
1,AL,35404,1
1,AL,35404,2
1,AL,35404,3
1,AL,35404,4
1,AL,35404,5
1,AL,35404,6
1,AL,35405,1
1,AL,35405,2
1,AL,35405,3
1,AL,35405,4
1,AL,35405,5
1,AL,35405,6
1,AL,35406,1
1,AL,35406,2
1,AL,35406,3
1,AL,35406,4
1,AL,35406,5
1,AL,35406,6
1,AL,35441,1
1,AL,35441,2
1,AL,35441,3
1,AL,35441,4
1,AL,35441,5
1,AL,35441,6
1,AL,35442,1
1,AL,35442,2
1,AL,35442,3
1,AL,35442,4
1,AL,35442,5
1,AL,35442,6
1,AL,35443,1
1,AL,35443,2
1,AL,35443,3
1,AL,35443,4
1,AL,35443,5
1,AL,35443,6
1,AL,35444,1
1,AL,35444,2
1,AL,35444,3
1,AL,35444,4
1,AL,35444,5
1,AL,35444,6
1,AL,35446,1
1,AL,35446,2
1,AL,35446,3
1,AL,35446,4
1,AL,35446,5
1,AL,35446,6
1,AL,35447,1
1,AL,35447,2
1,AL,35447,3
1,AL,35447,4
1,AL,35447,5
1,AL,35447,6
1,AL,35452,1
1,AL,35452,2
1,AL,35452,3
1,AL,35452,4
1,AL,35452,5
1,AL,35452,6
1,AL,35453,1
1,AL,35453,2
1,AL,35453,3
1,AL,35453,4
1,AL,35453,5
1,AL,35453,6
1,AL,35456,1
1,AL,35456,2
1,AL,35456,3
1,AL,35456,4
1,AL,35456,5
1,AL,35456,6
1,AL,35458,1
1,AL,35458,2
1,AL,35458,3
1,AL,35458,4
1,AL,35458,5
1,AL,35458,6
1,AL,35459,1
1,AL,35459,2
1,AL,35459,3
1,AL,35459,4
1,AL,35459,5
1,AL,35459,6
1,AL,35460,1
1,AL,35460,2
1,AL,35460,3
1,AL,35460,4
1,AL,35460,5
1,AL,35460,6
1,AL,35461,1
1,AL,35461,2
1,AL,35461,3
1,AL,35461,4
1,AL,35461,5
1,AL,35461,6
1,AL,35462,1
1,AL,35462,2
1,AL,35462,3
1,AL,35462,4
1,AL,35462,5
1,AL,35462,6
1,AL,35463,1
1,AL,35463,2
1,AL,35463,3
1,AL,35463,4
1,AL,35463,5
1,AL,35463,6
1,AL,35464,1
1,AL,35464,2
1,AL,35464,3
1,AL,35464,4
1,AL,35464,5
1,AL,35464,6
1,AL,35466,1
1,AL,35466,2
1,AL,35466,3
1,AL,35466,4
1,AL,35466,5
1,AL,35466,6
1,AL,35469,1
1,AL,35469,2
1,AL,35469,3
1,AL,35469,4
1,AL,35469,5
1,AL,35469,6
1,AL,35470,1
1,AL,35470,2
1,AL,35470,3
1,AL,35470,4
1,AL,35470,5
1,AL,35470,6
1,AL,35473,1
1,AL,35473,2
1,AL,35473,3
1,AL,35473,4
1,AL,35473,5
1,AL,35473,6
1,AL,35474,1
1,AL,35474,2
1,AL,35474,3
1,AL,35474,4
1,AL,35474,5
1,AL,35474,6
1,AL,35475,1
1,AL,35475,2
1,AL,35475,3
1,AL,35475,4
1,AL,35475,5
1,AL,35475,6
1,AL,35476,1
1,AL,35476,2
1,AL,35476,3
1,AL,35476,4
1,AL,35476,5
1,AL,35476,6
1,AL,35480,1
1,AL,35480,2
1,AL,35480,3
1,AL,35480,4
1,AL,35480,5
1,AL,35480,6
1,AL,35481,1
1,AL,35481,2
1,AL,35481,3
1,AL,35481,4
1,AL,35481,5
1,AL,35481,6
1,AL,35490,1
1,AL,35490,2
1,AL,35490,3
1,AL,35490,4
1,AL,35490,5
1,AL,35490,6
1,AL,35501,1
1,AL,35501,2
1,AL,35501,3
1,AL,35501,4
1,AL,35501,5
1,AL,35501,6
1,AL,35503,1
1,AL,35503,2
1,AL,35503,3
1,AL,35503,4
1,AL,35503,5
1,AL,35503,6
1,AL,35504,1
1,AL,35504,2
1,AL,35504,3
1,AL,35504,4
1,AL,35504,5
1,AL,35504,6
1,AL,35540,1
1,AL,35540,2
1,AL,35540,3
1,AL,35540,4
1,AL,35540,5
1,AL,35540,6
1,AL,35541,1
1,AL,35541,2
1,AL,35541,3
1,AL,35541,4
1,AL,35541,5
1,AL,35541,6
1,AL,35542,1
1,AL,35542,2
1,AL,35542,3
1,AL,35542,4
1,AL,35542,5
1,AL,35542,6
1,AL,35543,1
1,AL,35543,2
1,AL,35543,3
1,AL,35543,4
1,AL,35543,5
1,AL,35543,6
1,AL,35544,1
1,AL,35544,2
1,AL,35544,3
1,AL,35544,4
1,AL,35544,5
1,AL,35544,6
1,AL,35546,1
1,AL,35546,2
1,AL,35546,3
1,AL,35546,4
1,AL,35546,5
1,AL,35546,6
1,AL,35548,1
1,AL,35548,2
1,AL,35548,3
1,AL,35548,4
1,AL,35548,5
1,AL,35548,6
1,AL,35549,1
1,AL,35549,2
1,AL,35549,3
1,AL,35549,4
1,AL,35549,5
1,AL,35549,6
1,AL,35550,1
1,AL,35550,2
1,AL,35550,3
1,AL,35550,4
1,AL,35550,5
1,AL,35550,6
1,AL,35552,1
1,AL,35552,2
1,AL,35552,3
1,AL,35552,4
1,AL,35552,5
1,AL,35552,6
1,AL,35553,1
1,AL,35553,2
1,AL,35553,3
1,AL,35553,4
1,AL,35553,5
1,AL,35553,6
1,AL,35554,1
1,AL,35554,2
1,AL,35554,3
1,AL,35554,4
1,AL,35554,5
1,AL,35554,6
1,AL,35555,1
1,AL,35555,2
1,AL,35555,3
1,AL,35555,4
1,AL,35555,5
1,AL,35555,6
1,AL,35563,1
1,AL,35563,2
1,AL,35563,3
1,AL,35563,4
1,AL,35563,5
1,AL,35563,6
1,AL,35564,1
1,AL,35564,2
1,AL,35564,3
1,AL,35564,4
1,AL,35564,5
1,AL,35564,6
1,AL,35565,1
1,AL,35565,2
1,AL,35565,3
1,AL,35565,4
1,AL,35565,5
1,AL,35565,6
1,AL,35570,1
1,AL,35570,2
1,AL,35570,3
1,AL,35570,4
1,AL,35570,5
1,AL,35570,6
1,AL,35571,1
1,AL,35571,2
1,AL,35571,3
1,AL,35571,4
1,AL,35571,5
1,AL,35571,6
1,AL,35572,1
1,AL,35572,2
1,AL,35572,3
1,AL,35572,4
1,AL,35572,5
1,AL,35572,6
1,AL,35574,1
1,AL,35574,2
1,AL,35574,3
1,AL,35574,4
1,AL,35574,5
1,AL,35574,6
1,AL,35575,1
1,AL,35575,2
1,AL,35575,3
1,AL,35575,4
1,AL,35575,5
1,AL,35575,6
1,AL,35576,1
1,AL,35576,2
1,AL,35576,3
1,AL,35576,4
1,AL,35576,5
1,AL,35576,6
1,AL,35578,1
1,AL,35578,2
1,AL,35578,3
1,AL,35578,4
1,AL,35578,5
1,AL,35578,6
1,AL,35579,1
1,AL,35579,2
1,AL,35579,3
1,AL,35579,4
1,AL,35579,5
1,AL,35579,6
1,AL,35580,1
1,AL,35580,2
1,AL,35580,3
1,AL,35580,4
1,AL,35580,5
1,AL,35580,6
1,AL,35581,1
1,AL,35581,2
1,AL,35581,3
1,AL,35581,4
1,AL,35581,5
1,AL,35581,6
1,AL,35582,1
1,AL,35582,2
1,AL,35582,3
1,AL,35582,4
1,AL,35582,5
1,AL,35582,6
1,AL,35584,1
1,AL,35584,2
1,AL,35584,3
1,AL,35584,4
1,AL,35584,5
1,AL,35584,6
1,AL,35585,1
1,AL,35585,2
1,AL,35585,3
1,AL,35585,4
1,AL,35585,5
1,AL,35585,6
1,AL,35586,1
1,AL,35586,2
1,AL,35586,3
1,AL,35586,4
1,AL,35586,5
1,AL,35586,6
1,AL,35587,1
1,AL,35587,2
1,AL,35587,3
1,AL,35587,4
1,AL,35587,5
1,AL,35587,6
1,AL,35592,1
1,AL,35592,2
1,AL,35592,3
1,AL,35592,4
1,AL,35592,5
1,AL,35592,6
1,AL,35593,1
1,AL,35593,2
1,AL,35593,3
1,AL,35593,4
1,AL,35593,5
1,AL,35593,6
1,AL,35594,1
1,AL,35594,2
1,AL,35594,3
1,AL,35594,4
1,AL,35594,5
1,AL,35594,6
1,AL,35601,1
1,AL,35601,2
1,AL,35601,3
1,AL,35601,4
1,AL,35601,5
1,AL,35601,6
1,AL,35603,1
1,AL,35603,2
1,AL,35603,3
1,AL,35603,4
1,AL,35603,5
1,AL,35603,6
1,AL,35610,1
1,AL,35610,2
1,AL,35610,3
1,AL,35610,4
1,AL,35610,5
1,AL,35610,6
1,AL,35611,1
1,AL,35611,2
1,AL,35611,3
1,AL,35611,4
1,AL,35611,5
1,AL,35611,6
1,AL,35613,1
1,AL,35613,2
1,AL,35613,3
1,AL,35613,4
1,AL,35613,5
1,AL,35613,6
1,AL,35614,1
1,AL,35614,2
1,AL,35614,3
1,AL,35614,4
1,AL,35614,5
1,AL,35614,6
1,AL,35616,1
1,AL,35616,2
1,AL,35616,3
1,AL,35616,4
1,AL,35616,5
1,AL,35616,6
1,AL,35618,1
1,AL,35618,2
1,AL,35618,3
1,AL,35618,4
1,AL,35618,5
1,AL,35618,6
1,AL,35619,1
1,AL,35619,2
1,AL,35619,3
1,AL,35619,4
1,AL,35619,5
1,AL,35619,6
1,AL,35620,1
1,AL,35620,2
1,AL,35620,3
1,AL,35620,4
1,AL,35620,5
1,AL,35620,6
1,AL,35621,1
1,AL,35621,2
1,AL,35621,3
1,AL,35621,4
1,AL,35621,5
1,AL,35621,6
1,AL,35622,1
1,AL,35622,2
1,AL,35622,3
1,AL,35622,4
1,AL,35622,5
1,AL,35622,6
1,AL,35630,1
1,AL,35630,2
1,AL,35630,3
1,AL,35630,4
1,AL,35630,5
1,AL,35630,6
1,AL,35633,1
1,AL,35633,2
1,AL,35633,3
1,AL,35633,4
1,AL,35633,5
1,AL,35633,6
1,AL,35634,1
1,AL,35634,2
1,AL,35634,3
1,AL,35634,4
1,AL,35634,5
1,AL,35634,6
1,AL,35640,1
1,AL,35640,2
1,AL,35640,3
1,AL,35640,4
1,AL,35640,5
1,AL,35640,6
